Names,Storage,Prices,Conditions,Cities,Areas
Laptop HP Omen 15t 16GB Intel,HDD+SSD,8800,Used,Greater Accra,Tema Metropolitan
Display Port(Dp) to,HDMI,40,Brand New,Ashanti,Kumasi Metropolitan
Laptop Lenovo ThinkPad X250 8GB Intel Core I5,HDD,2400,Used,Greater Accra,Kokomlemle
New Laptop HP 8GB Intel Core I3,SSD,6110,Brand New,Greater Accra,Kokomlemle
Apple A1189 Laptop Battery for Macbook Pro,17-Inch,200,Brand New,Greater Accra,Accra New Town
New Laptop Apple MacBook Pro 2021 M1 16GB Apple M1,SSD,38000,Brand New,Greater Accra,Accra Metropolitan
Laptop Toshiba Satellite L600 4GB Intel Core I3,HDD,1500,Used,Ashanti,Kumasi Metropolitan
Laptop Lenovo IdeaPad S145 8GB AMD Ryzen 3,HDD+SSD,1900,Used,Greater Accra,Circle
Laptop Dell Inspiron 15 3565 8GB AMD A6,HDD,1750,Used,Greater Accra,Circle
"Original Lenovo Pendrive,",16,350,Brand New,Central Region,Cape Coast Metropolitan
New Laptop Dell 8GB Intel Core I3,SSD,3200,Brand New,Greater Accra,Spintex
New Laptop HP Pavilion 15 8GB AMD Ryzen 3,SSD,4000,Brand New,Greater Accra,Circle
Laptop HP EliteBook X360 1030 G4 8GB Intel Core I5,SSD,5200,Used,Greater Accra,Kokomlemle
Laptop Lenovo ThinkPad T580 8GB Intel Core I7,SSD,4850,Used,Greater Accra,Kasoa
Laptop Acer Chromebook 15 CB315 4GB Intel,eMMC,2200,Used,Eastern Region,Akuapim North
Laptop HP EliteBook 820 G3 8GB Intel Core I5,HDD+SSD,3000,Used,Greater Accra,Circle
Laptop HP Stream 11 4GB Intel Celeron,HDD,1200,Used,Greater Accra,Kokomlemle
Tp Link 150mbps NANO USB,Wifi,160,Brand New,Greater Accra,Kokomlemle
Laptop Toshiba 8GB Intel Core I5,SSD,2300,Used,Greater Accra,Adenta
Brown Leather Laptop Bag For 15,Inches,180,Unknown,Greater Accra,Circle
Laptop HP Pavilion Dv4 2GB Intel Core 2 Duo,HDD,950,Used,Greater Accra,Lapaz
Laptop HP EliteBook 840 G5 16GB Intel Core I5,SSD,3500,Used,Greater Accra,Spintex
HP 14G,Laptop,100,Brand New,Greater Accra,Kokomlemle
Computer Microphone K Song Recording,Dedicated,320,Brand New,Greater Accra,Spintex
Laptop HP 15-Da2933nia 8GB Intel Core I7,SSD,4100,Used,Ashanti,Kumasi Metropolitan
Laptop NEC N22A 8GB Intel Pentium,HDD,1750,Used,Greater Accra,Adenta
Powerful Toshiba,Laptop,50,Brand New,Greater Accra,Ashaiman Municipal
New Laptop Lenovo Thinkpad P15s 16GB Intel Core I7,SSD,18500,Brand New,Greater Accra,Kokomlemle
Laptop Dell Latitude 3480 4GB Intel Core I5 SSHD,(Hybrid),2900,Used,Greater Accra,Little Legon
Laptop Apple MacBook Pro 2012 4GB Intel Core 2 Duo,HDD,1780,Used,Greater Accra,Accra Metropolitan
Genuine Original Leather Bag FROM UK HAND AND,SHOULDER,550,Unknown,Greater Accra,Kokomlemle
New Laptop Origin PC 8GB,SSHD+SSD,23000,Brand New,Greater Accra,East Legon
Laptop Lenovo IdeaPad 300 8GB Intel Core I7,HDD,1800,Used,Greater Accra,Circle
Laptop Apple MacBook Pro 2015 8GB Intel Core I5,SSD,4200,Used,Greater Accra,East Legon
Laptop HP 8GB AMD Ryzen,SSD,3500,Used,Central Region,Mfantsiman Municipal
HP/COMPAQ TF03XL,Laptop,450,Brand New,Greater Accra,Circle
Laptop Dell Latitude E7450 4GB Intel Core I3,HDD,1200,Used,Ashanti,Ejisu-Juaben Municipal
May Chen Screen Protector for Mac Pro 13'' 2022,2021,250,Brand New,Greater Accra,Lapaz
Lenovo Speedster SSD 500GB Unleash,the,500,Brand New,Ashanti,Kumasi Metropolitan
Gigabyte GA-H110MSTX-HD3-ZK 8GB Intel Core I5,HDD+SSD,850,Used,Ashanti,Kumasi Metropolitan
New Laptop Dell XPS 13 2-in-1 (9315) 16GB Intel Core I7,SSD,14000,Brand New,Greater Accra,Kokomlemle
Desktop Computer HP ProDesk 600 G1 4GB Intel Core I5,HDD,1500,Used,Central Region,Mfantsiman Municipal
New Laptop Lenovo 16GB Intel Core I7,SSD,10500,Brand New,Greater Accra,Spintex
Laptop HP 15 4GB Intel Core I5,HDD,2800,Used,Greater Accra,Accra Metropolitan
Laptop Lenovo ThinkPad X1 Carbon 16GB Intel Core I7,SSD,8000,Used,Greater Accra,Kokomlemle
New Desktop Computer MSI AG270 2QC 3K 32GB Intel Core I9,SSD,16999,Brand New,Greater Accra,Osu
Laptop Dell Precision 7520 32GB Intel Xeon,HDD+SSD,7000,Used,Greater Accra,Madina
New Laptop HP ProBook 430 G7 8GB Intel Core I5,SSD,4500,Brand New,Greater Accra,Dansoman
Laptop Battery,Unknown,300,Brand New,Central Region,Mfantsiman Municipal
Laptop Lenovo IdeaPad L340 8GB Intel Core I3,SSD,2850,Used,Central Region,Cape Coast Metropolitan
Potable Multi Fashionable Backpack for 15.6,Inches,250,Unknown,Greater Accra,Circle
Laptop Dell Precision 7520 32GB Intel Core I7,HDD+SSD,6700,Used,Greater Accra,Tema Metropolitan
8gb Ddr4,Laptop,2826300,Brand New,Greater Accra,Kokomlemle
Classic,Leather,220,Unknown,Greater Accra,East Legon
Samsung 25W Travel,Adapter,182,Brand New,Greater Accra,Accra Metropolitan
New Laptop HP 4GB Intel Celeron,HDD,3200,Brand New,Greater Accra,Kokomlemle
Laptop HP EliteBook Folio 8GB Intel Core I5,HDD,1700,Used,Greater Accra,Circle
New Laptop Dell Latitude 5480 16GB Intel Core i5,SSD,2990,Brand New,Greater Accra,Accra Metropolitan
Laptop Apple MacBook 2012 4GB Intel Core I5,HDD,2800,Used,Greater Accra,Adabraka
Laptop HP ZBook 15u G5 16GB Intel Core I7,SSD,5000,Used,Greater Accra,Accra Metropolitan
Laptop Apple MacBook Pro 2011 4GB Intel Core i5,HDD+SSD,1650,Used,Brong Ahafo,Sunyani Municipal
Desktop Computer Lenovo ThinkCentre M710 16GB Intel Core I5,SSD,5200,Used,Greater Accra,Dansoman
Dell Inspiron 13-7375 5368 7368 15-5568 5565,Battery,550,Brand New,Greater Accra,Circle
Laptop HP Pavilion 15 8GB AMD A6,HDD,1750,Used,Greater Accra,Circle
New Laptop HP 15-dw1197nia 4GB Intel Core i3,HDD,4200,Brand New,Greater Accra,Achimota
New Gigabyte GB-BKi5HA-7200 32GB Intel Core I7,SSD,20850,Brand New,Greater Accra,Darkuman
Samsung,Laptop,55,Brand New,Greater Accra,Kokomlemle
Laptop HP Pavilion Gaming 15 2019 16GB Intel Core I7,SSD,8999,Used,Greater Accra,Accra Metropolitan
New Laptop Dell XPS 13 16GB Intel Core I7,SSD,14000,Brand New,Greater Accra,Madina
Desktop Computer HP Z240 16GB Intel Xeon,SSD,2600,Used,Greater Accra,Spintex
New Desktop Computer 16GB Intel Core I7,SSD,12500,Brand New,Greater Accra,Kaneshie
Laptop HP 15-Gw0023od Slim 8GB Intel,HDD,2100,Used,Greater Accra,Kokomlemle
Laptop Lenovo ThinkPad T460 16GB Intel Core I7 SSD,16,2390,Used,Greater Accra,Ablekuma
New Desktop Computer MSI Gaming 24 6QE 4K 32GB AMD,Ryzen,8999,Brand New,Greater Accra,Accra Metropolitan
Laptop Apple MacBook Pro 8GB Intel Core I5,SSD,4000,Used,Greater Accra,Adenta
Laptop Sony VAIO Fit SVF15A1S2E 8GB Intel Core I5,HDD,2700,Used,Greater Accra,Tema Metropolitan
Brand-New Apple A1713 / A1708 Battery for Macbook,Pro,650,Brand New,Greater Accra,Accra New Town
New Laptop Nextbook 8GB HDD+SSD,16,350,Brand New,Greater Accra,Dansoman
Laptop Asus X751NA 12GB Intel Core I7,HDD,2500,Used,Greater Accra,Tema Metropolitan
Laptop Dell Inspiron 5565 8GB Intel Core I5,HDD,2100,Used,Greater Accra,Lapaz
"13inch Sleeve Bag for 13"" Laptops",or,350,Brand New,Greater Accra,Lapaz
New Laptop HP Envy X360 13z 8GB Intel Core i7,SSD,15900,Brand New,Greater Accra,Accra Metropolitan
Desktop Computer Lenovo ThinkStation P500 16GB Intel Xeon,HDD,6000,Used,Ashanti,Kumasi Metropolitan
New Laptop HP Pavilion 15 8GB AMD Ryzen 5,SSD,5850,Brand New,Western Region,Tarkwa Nsuaem
Used Toshiba Disk Drive,for,100,Used,Greater Accra,Nungua
Macbook Sticker,13.3,130,Brand New,Greater Accra,Circle
New Desktop Computer Asus ROG GT51CA 16GB Intel Core I7,SSD,12999,Brand New,Greater Accra,Achimota
Desktop Computer Apple iMac 8GB Intel Core I5,HDD,3900,Used,Greater Accra,Kasoa
Laptop Apple MacBook Air 2013 4GB Intel Core I5,SSD,2550,Used,Greater Accra,Circle
New Laptop HP ProBook 11 G2 EE 8GB Intel Pentium,SSD,2500,Brand New,Greater Accra,Tema Metropolitan
Notebook Stand,Bracket,500,Brand New,Greater Accra,Osu
Laptop HP 15 4GB Intel Core I3,HDD,1500,Used,Ashanti,Kumasi Metropolitan
Desktop Computer Dell OptiPlex 3050 8GB Intel Core I5,SSD,3800,Used,Greater Accra,Accra Metropolitan
Gigantic Display//Samsung 75 Crystal UHD Smart HDR,4k,11999,Brand New,Greater Accra,Adabraka
Laptop Apple MacBook Air 2013 8GB Intel Core I5,SSD,3500,Used,Greater Accra,Odorkor
New Laptop HP ProBook 430 G4 8GB Intel Core I5,SSD,2700,Brand New,Brong Ahafo,Sunyani Municipal
New Desktop Computer MSI Gaming 24GE 2QE 4K 64GB Intel Core,I7,38600,Brand New,Greater Accra,Lapaz
Laptop HP 15 4GB Intel,HDD,1499,Used,Greater Accra,Weija
Men's Business Multifunction Waterproof,Notebook,1650,Brand New,Greater Accra,Accra Metropolitan
New Desktop Computer HP 4GB Intel Core i3,HDD,750,Brand New,Greater Accra,Tesano
Laptop Dell Latitude 5300 8GB Intel Core I5,SSD,2750,Used,Ashanti,Kumasi Metropolitan
New Laptop HP Envy X360 15t 12GB Intel Core I7,SSD,6850,Brand New,Greater Accra,Burma Camp
High Audio Level Onyx <> Studio <> 7 <>,Speaker,3499,Brand New,Greater Accra,Adabraka
Laptop Lenovo Thinkpad X1 Yoga 16GB Intel Core I7,SSD,4900,Used,Ashanti,Kumasi Metropolitan
New Laptop MSI GF63 16GB Intel Core I5,SSD,11999,Brand New,Greater Accra,Madina
Laptop Dell Precision 17 7720 16GB Intel Core I7,SSD,12990,Used,Greater Accra,Sowutwuom
New Desktop Computer Asus ROG Strix GL12 96GB Intel Core I9,SSD,49000,Brand New,Greater Accra,Accra Metropolitan
Brand New Sealed 512gb M.2,SATA,550,Brand New,Greater Accra,Weija
HP Zbook HDD,Cable,120,Brand New,Ashanti,Kumasi Metropolitan
Laptop Lenovo 8GB AMD Ryzen 5,SSD,4200,Used,Ashanti,Kumasi Metropolitan
Type C to USB Hub 4 Ports. 3.0 for Laptops,and,70,Brand New,Greater Accra,Circle
Laptop HP EliteBook 840 G4 8GB Intel Core I5,HDD,3000,Used,Greater Accra,Kokomlemle
Crucial 500GB X6 Portable,External,949,Brand New,Greater Accra,Lapaz
Laptop Apple MacBook Pro 2009 4GB Intel Core 2 Duo,HDD+SSD,1150,Used,Greater Accra,Spintex
Laptop Lenovo ThinkPad L580 8GB Intel Core I7,SSD,3450,Used,Greater Accra,East Legon
Laptop HP ProBook 650 G3 8GB Intel Core I5,HDD,2500,Used,Greater Accra,Dansoman
World Class,Laptop,350,Brand New,Greater Accra,Accra Metropolitan
VGA Splitter -,4,110,Brand New,Ashanti,Kumasi Metropolitan
Laptop Apple MacBook Air 2022 M2 8GB Apple M2,SSD,11500,Used,Greater Accra,Circle
Laptop HP Pavilion 15 8GB Intel Core I7,HDD+SSD,2600,Used,Greater Accra,Lapaz
Laptop HP ZBook 15 16GB Intel Core I7,SSD,6500,Used,Northern Region,Tamale Municipal
New Laptop Dell Latitude E5440 16GB Intel Core I7,SSD,12000,Brand New,Greater Accra,Osu
Backpack For Laptops,Anti,75,Unknown,Greater Accra,Alajo
Laptop Apple MacBook Pro 2GB Intel Core 2 Duo,HDD,900,Used,Greater Accra,Madina
Mac Book,Pro,160,Brand New,Greater Accra,Kokomlemle
Laptop HP 15 4GB Intel,HDD,1250,Used,Greater Accra,Accra Metropolitan
Nokia,2.4,300,Brand New,Greater Accra,Haatso
Laptop Apple MacBook Pro 16GB,HDD,2700,Used,Greater Accra,Madina
"Macbook Pro 13-Inch 2018 - 2019, A1989/2159",Battery,800,Brand New,Greater Accra,Madina
Black Anti-theft Waterproof Laptop Backpack,(FREE,450,Unknown,Greater Accra,Gbawe
Desktop Computer Apple Mac Mini 4GB Intel Core I5,HDD,750,Used,Ashanti,Kumasi Metropolitan
Laptop Dell 8GB Intel Core I5,HDD,2500,Used,Greater Accra,Tema Metropolitan
Laptop HP EliteBook 745 16GB AMD Ryzen,SSD,4200,Used,Greater Accra,Accra New Town
Laptop HP Pavilion 14 8GB Intel Core I3,HDD,2900,Used,Greater Accra,Achimota
Jedel Cp87 USB,Optical,20,Brand New,Greater Accra,Achimota
Laptop Lenovo ThinkPad T470 8GB Intel Core I7,SSD,3700,Used,Greater Accra,Adenta
New Laptop Alienware M17x R2 32GB AMD Ryzen 9,SSD,32900,Brand New,Greater Accra,Sowutwuom
Laptop Dell Latitude E7450 8GB Intel Core I5,SSD,3600,Used,Greater Accra,Dansoman
Laptop Dell XPS 15 32GB Intel Core I9,SSD,10500,Used,Greater Accra,Kasoa
New Laptop NEC N22A 16GB Intel Core I5,SSD,3699,Brand New,Ashanti,Kumasi Metropolitan
New Laptop HP Pavilion 14 8GB Intel Core I5,SSD,10500,Brand New,Greater Accra,Accra Metropolitan
HP SP04XL Laptop Battery for Spectre,X360,450,Brand New,Greater Accra,Accra New Town
Turf Boombar 2 Bluetooth Soundbar,With,1599,Brand New,Greater Accra,Dansoman
Laptop HP ProBook 455 G4 8GB AMD A10,HDD,2550,Used,Greater Accra,Circle
New Laptop HP Omen 16 16GB Intel Core I9,SSD,23500,Brand New,Greater Accra,Kokomlemle
Laptop Asus TUF Gaming A15 4GB Intel Core I7,HDD,1000,Used,Ashanti,Atwima Nwabiagya
Xiaomi MI,Urban,2374,Unknown,Greater Accra,Accra Metropolitan
Laptop HP 255 4GB AMD,HDD,142551500,Used,Greater Accra,Taifa-Burkina
Desktop Computer Apple iMac 4GB Intel Core I5,HDD,6800,Used,Greater Accra,Accra Metropolitan
Desktop Computer Dell OptiPlex 3050 8GB Intel Core I5,HDD,2250,Used,Greater Accra,Kokomlemle
Laptop Lenovo ThinkPad Yoga 370 8GB Intel Core I7,SSD,3800,Used,Greater Accra,Kasoa
TPN-C129,Laptop,220,Brand New,Greater Accra,Circle
Server HP ProLiant ML 32GB Intel Xeon,HDD,8000,Used,Greater Accra,Kokomlemle
Laptop Battery for DELL,Latitude,450,Brand New,Greater Accra,Circle
Laptop Dell Latitude 5491 8GB Intel Core I5,SSD,3000,Used,Ashanti,Kumasi Metropolitan
New Laptop Asus G53JW 16GB Intel Core I7,HDD+SSD,13500,Brand New,Ashanti,Kumasi Metropolitan
Antitheft Multi Fashionable Backpacks,at,200,Unknown,Greater Accra,Circle
Laptop HP Pavilion 15 12GB Intel Core I3,HDD,2250,Used,Greater Accra,Circle
"Macbook 15"" Touchbar 3in1",Black,600,Brand New,Greater Accra,Nii Boi Town
Belkin Metallic Micro-Usb to,USB,150,Brand New,Greater Accra,North Industrial Area
New Laptop Asus TUF Gaming FX504 16GB AMD Ryzen,SSD,18900,Brand New,Greater Accra,Accra Metropolitan
New Laptop HP Pavilion 15 4GB AMD,HDD+SSD,1700,Brand New,Greater Accra,Circle
Laptop Dell 32GB Intel Core I7,SSD,6800,Used,Greater Accra,Tema Metropolitan
New Laptop Lenovo ThinkPad Yoga 16GB Intel Core I7,SSD,21000,Brand New,Greater Accra,Spintex
"17"" Good Quality",Casual,220,Unknown,Greater Accra,Accra Metropolitan
New Laptop HP Victus 16 8GB AMD Ryzen 5,SSD,8500,Brand New,Greater Accra,East Legon
New Laptop Dell Alienware X17 R2 32GB Intel Core I9,SSD,39000,Brand New,Greater Accra,East Legon
Laptop Apple MacBook Air 2015 8GB Intel Core i7,SSD,3500,Used,Greater Accra,Spintex
Laptop Lenovo 24GB Intel Core I7,SSD,4800,Used,Greater Accra,Lapaz
Desktop Computer Dell OptiPlex 7040 12GB Intel Core I5,HDD,1200,Used,Ashanti,Obuasi Municipal
Neatest Samsung 32 Led Digital Satellites,FHD,2199,Unknown,Greater Accra,Adabraka
Laptop HP Pavilion 15 8GB Intel Core I5,HDD,2500,Used,Greater Accra,Tema Metropolitan
Laptop Acer 8GB Intel Core I5,HDD,2200,Used,Volta Region,Ho Municipal
Laptop HP 1GB,HDD,1000,Used,Ashanti,Kumasi Metropolitan
Grey Anti-Theft Backpack + Zipper Lock,(FREE,330,Unknown,Greater Accra,Gbawe
Laptop HP ProBook 430 G4 8GB Intel Core I5,SSD,2500,Used,Greater Accra,Adabraka
Desktop Computer Dell OptiPlex 3050 8GB Intel Core I5,SSD,3000,Used,Greater Accra,Accra Metropolitan
Laptop HP 250 G7 8GB Intel Core I5 SSHD,(Hybrid),2850,Used,Ashanti,Kumasi Metropolitan
Trolling Duffel,Traveling,500,Unknown,Greater Accra,Circle
Get the New Movable Mobile Trolley TV,Stand(32-70,850,Brand New,Greater Accra,Adabraka
500gb External,Hard,250,Brand New,Ashanti,Kumasi Metropolitan
Laptop Fujitsu Lifebook T900 8GB Intel Core I5,SSD,3600,Used,Ashanti,Kumasi Metropolitan
New Laptop HP Pavilion 15 16GB Intel Core i7,SSD,12000,Brand New,Greater Accra,East Legon
Desktop Computer Apple Mac Mini 8GB Intel Core I5 SSHD,(Hybrid),2500,Used,Greater Accra,Accra Metropolitan
Desktop Computer Apple iMac 16GB Intel Core I5,SSD,3500,Used,Greater Accra,Madina
Laptop Dell Latitude 3480 8GB Intel Core I5,HDD,3000,Used,Greater Accra,Lapaz
Laptop HP EliteBook 840 G6 8GB Intel Core I5,SSD,4100,Used,Greater Accra,Tema Metropolitan
Laptop Dell Latitude 7440 8GB Intel Core I7,HDD,2850,Used,Greater Accra,Adenta
Laptop Apple MacBook Air 2014 4GB Intel Core I5,SSD,2400,Used,Greater Accra,Circle
New Gigabyte GC-NB1590 16GB Intel Core I7,HDD+SSD,18000,Brand New,Greater Accra,Accra Metropolitan
Laptop Asus 4GB Intel Core I3,HDD,1600,Used,Greater Accra,Lapaz
Desktop Computer Lenovo 4GB Intel Core 2 Quad,HDD,1000,Used,Greater Accra,Adenta
New Laptop Dell Inspiron 15 8GB AMD Ryzen 5,SSD,6240,Brand New,Greater Accra,Kokomlemle
Macbook Pro,(1382),750,Brand New,Greater Accra,Circle
Desktop Computer HP Pavilion 570 8GB Intel Core I5,HDD,2200,Used,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 8540P 8GB Intel Core I5,HDD,2199,Used,Greater Accra,Sowutwuom
Laptop Apple MacBook 2019 16GB Intel Core I9,SSD,13000,Used,Greater Accra,East Legon
New Desktop Computer MSI Gaming 27 6QE 16GB Intel Core I7,HDD+SSD,11000,Brand New,Greater Accra,Accra Metropolitan
2nd,HDD,40,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP EliteBook 830 8GB Intel Core I5,SSD,3700,Used,Greater Accra,Circle
Laptop HP EliteBook 845 G8 16GB AMD Ryzen 5,SSD,5550,Used,Greater Accra,Kokomlemle
Laptop HP EliteBook 1040 G6 16GB Intel Core I7,SSD,6500,Used,Greater Accra,Dansoman
New Laptop Apple MacBook Pro 2012 8GB Intel Core I7,HDD+SSD,3200,Brand New,Greater Accra,Circle
Laptop HP ProBook 440 G3 8GB Intel Core I5,HDD,2500,Used,Greater Accra,Madina
Laptop HP EliteBook 1040 G4 12GB Intel Core I5,SSD,2400,Used,Greater Accra,Kokomlemle
New Laptop Acer Nitro 5 Spin 8GB Intel Core i5,SSD,12000,Brand New,Greater Accra,Kokomlemle
New Desktop Computer MSI Model 32GB Intel Core I7,SSD,22000,Brand New,Greater Accra,Weija
Laptop Asus ZenBook Flip S UX370UA 16GB Intel Core I7,SSD,7999,Used,Greater Accra,Tema Metropolitan
New Laptop MSI 64GB Intel Core I9,SSD,57000,Brand New,Greater Accra,Darkuman
Laptop HP Compaq Presario CQ60 3GB Intel Pentium,HDD,550,Used,Greater Accra,Tesano
Laptop Apple MacBook Pro 2015 16GB Intel Core I7,SSD,5500,Used,Greater Accra,Accra Metropolitan
Tp-Link Router,Unknown,950,Unknown,Greater Accra,Adabraka
Laptop Lenovo ThinkPad T470 8GB Intel Core I5,SSD,2550,Used,Greater Accra,Lapaz
New Desktop Computer Gigabyte GB-BACE-3010 16GB AMD,Ryzen,11900,Brand New,Greater Accra,Kaneshie
Navy Club Quality BACKPACKSchool/OFFICE,BAG,380,Unknown,Greater Accra,Kokomlemle
New Laptop Lenovo Ideapad 3 8GB Intel Core I5,SSD,8000,Brand New,Greater Accra,Kokomlemle
Ladies,Handbags(African,50,Unknown,Greater Accra,Adenta
Metallic,Laptop,100,Brand New,Greater Accra,Abelemkpe
Converter VGA to HDMI Up,Scaler,200,Brand New,Greater Accra,Tesano
New Laptop Lenovo ThinkPad X390 16GB Intel Core I5,SSD,5800,Brand New,Greater Accra,Burma Camp
Laptop HP EliteBook Folio 9480M 8GB Intel Core I7,HDD,2450,Used,Greater Accra,Adenta
1TB M.2,Nvme,1200,Brand New,Greater Accra,Kokomlemle
Dell XPS,13-9365,400,Unknown,Greater Accra,Circle
USB-C 8 in,1,165,Brand New,Greater Accra,Kokomlemle
New Laptop Dell Latitude 12 7280 8GB Intel Core I5,SSD,2880103200,Brand New,Ashanti,Kumasi Metropolitan
New Laptop HP ZBook Firefly 16 G10 16GB Intel Core I7,SSD,13500,Brand New,Greater Accra,East Legon
Brand New Bilatte Microphone,for,300,Brand New,Greater Accra,Tema Metropolitan
Hp Gaming,Headset,455,Brand New,Greater Accra,Accra Metropolitan
Laptop /,Gadgets,150,Brand New,Greater Accra,Lapaz
Laptop Lenovo Ideapad V14 IGL 4GB Intel Celeron,HDD,2650,Used,Greater Accra,Haatso
New Desktop Computer Asus TUF Gaming FX10CP 16GB AMD,Ryzen,8900,Brand New,Greater Accra,East Legon
New Laptop Toshiba Satellite L750D 4GB Intel Core 2 Duo,HDD,1700,Brand New,Greater Accra,Kokomlemle
Toshiba Satellite C850 Replacement Black,Laptop,120,Brand New,Greater Accra,Gbawe
Laptop Sony VAIO SVE15114FXS 8GB Intel Core I5,HDD,1300,Used,Greater Accra,Dome
ORIGINAL DELL BATTERY YRDD6 for Inspiron 5481,5482,370,Brand New,Greater Accra,Accra New Town
New Desktop Computer 16GB Intel Core I7,HDD+SSD,4500,Brand New,Greater Accra,Accra Metropolitan
Uniview 512gb,Sata,720,Brand New,Greater Accra,Osu
Laptop HP ZBook 15 G2 16GB Intel Core I7,SSD,7800,Used,Greater Accra,Accra Metropolitan
Samsung Galaxy J2 Prime G532 G532F Sm-G532,Sm-G532f,250,Brand New,Greater Accra,Haatso
Laptop Asus F80S 8GB Intel Core I5,SSD,3700,Used,Greater Accra,Accra Metropolitan
Laptop HP Pavilion G62 8GB Intel Core I5,HDD,1950,Used,Greater Accra,East Legon
Laptop Lenovo ThinkPad T580 8GB Intel Core I7 SSHD,(Hybrid),3500,Used,Greater Accra,Achimota
HP 15-Ad,Internal,100,Unknown,Greater Accra,Circle
Macbook,Pro,170,Brand New,Greater Accra,Circle
New Laptop Lenovo Ideapad 3 12GB Intel Core I5,SSD,7399,Brand New,Greater Accra,East Legon
"Leonardo - Italian Leather Backpack, Made in","Florence,",1200,Unknown,Greater Accra,Kokomlemle
Laptop Dell Latitude 7390 8GB Intel Core I5,SSD,4200,Used,Ashanti,Kumasi Metropolitan
Lenovo ThinkCentre M710 Tiny 8GB Intel Core I3,SSD,1400,Used,Greater Accra,Abossey Okai
Laptop Dell G3 17 3579 8GB Intel Core I5,SSD,7000,Used,Ashanti,Kumasi Metropolitan
New Desktop Computer MSI AG270 2QC 16GB Intel Core I7,HDD+SSD,10000,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 725 G4 8GB Intel Core I5,HDD,2500,Used,Greater Accra,Kokomlemle
Laptop Lenovo V330 12GB Intel Core I5,SSD,3100,Used,Greater Accra,Accra Metropolitan
16 Inch Voyage,Laptop,300,Brand New,Greater Accra,Kokomlemle
Laptop HP EliteBook 840 G7 8GB Intel Core I5,SSD,6000,Used,Greater Accra,Dansoman
HDMI to VGA Video Converter Adapter Full,1080P,79,Brand New,Greater Accra,Accra Metropolitan
Laptop HP 16GB Intel Core I7,SSD,6500,Used,Greater Accra,Kokomlemle
HDMI Adapter,Unknown,150,Brand New,Greater Accra,Circle
Original,Dell,150,Used,Greater Accra,Lapaz
Lenovo ThinkCentre M600 Tiny 8GB Intel Core I5,SSD,1600,Unknown,Greater Accra,Madina
US Plug AC Adapter 15V 4A 60W for,Toshiba,120,Brand New,Greater Accra,East Legon
New Desktop Computer Gigabyte GB-BKi7HA-7500 16GB AMD Ryzen,SSD,8999,Brand New,Greater Accra,Ga East Municipal
Desktop Computer HP 8GB Intel Core I7,HDD,1850,Used,Greater Accra,Abossey Okai
Server HP ProLiant BL 32GB Intel Xeon,HDD,4000,Used,Ashanti,Kumasi Metropolitan
Laptop HP EliteBook 745 G5 8GB AMD Ryzen 7,SSD,4500,Used,Greater Accra,Dansoman
Laptop HP 15 4GB Intel Core I3,HDD,1600,Used,Greater Accra,Circle
New Desktop Computer 32GB Intel Core I7,HDD+SSD,9500,Brand New,Greater Accra,Accra Metropolitan
Laptop Backpack,Unknown,200,Unknown,Greater Accra,Kwashieman
Targus Tar300 15.6′′ Laptop,Clamshell,248,Unknown,Greater Accra,Accra Metropolitan
Laptop Dell Latitude 5480 8GB Intel Core I5,SSD,3500,Used,Greater Accra,Circle
Great Hp,2320,650,Unknown,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 15 8GB Intel Core I5,SSD,7950,Used,Greater Accra,Circle
Affordable 99V Quality Men's Boxer Shorts Online,At,27,Unknown,Greater Accra,Achimota
Laptop Asus Q304UA 8GB Intel Core I5,SSD,4200,Used,Greater Accra,Spintex
Thule TEBP313,ASPHALT,1085,Unknown,Greater Accra,Accra Metropolitan
Laptop Toshiba 4GB Intel Core I3,HDD,1400,Used,Eastern Region,New-Juaben Municipal
6W 2pcs Gaming Computer Speaker USB Stereo 3.5mmjack,for,156,Brand New,Greater Accra,Madina
HP 15 Laptop Keyboard,With,170,Unknown,Greater Accra,Kokomlemle
HP,Laptop,100,Brand New,Greater Accra,Kokomlemle
Desktop Computer HP EliteDesk 800 G3 12GB Intel Core I5,SSD,1800,Used,Greater Accra,Kokomlemle
Laptop Lenovo ThinkPad L440 8GB Intel Core I3,HDD,1500,Used,Greater Accra,Lapaz
Foldable & Adjustable DJ,Laptop,1100,Brand New,Greater Accra,Santa Maria
HP V236W 32gb USB 2.0,Pen,195,Brand New,Greater Accra,Accra Metropolitan
"75"" Uhd 4K Samsung Au7100",Smart,11999,Brand New,Greater Accra,Adabraka
Battery Cable for Dell Latitude 7280 7380,E7280,120,Brand New,Greater Accra,East Legon
Laptop Apple MacBook Air 2019 8GB Intel Core I5,SSD,7999,Used,Greater Accra,Accra Metropolitan
Laptop HP ZBook 15 16GB Intel Core I5,SSD,5300,Used,Greater Accra,Tema Metropolitan
Laptop Dell Latitude 3390 8GB Intel Core I3,SSD,4300,Used,Greater Accra,Circle
Laptop HP EliteBook 830 G6 8GB Intel Core I5,SSD,5499,Used,Greater Accra,Adenta
Anty,Thief,400,Unknown,Greater Accra,Accra Metropolitan
